country,highest_level_of_education_completed,gender,race,totalCompensation,min_years_of_relevant_experience,Latitude,Longitude
USA,College degree,Woman,White,66840,11,40.0792,-98.8164
USA,College degree,Woman,White,96000,8,40.0792,-98.8164
USA,Master's degree,Woman,White,87000,2,40.0792,-98.8164
USA,PhD,Woman,White,25000,8,40.0792,-98.8164
USA,Master's degree,Woman,White,120000,11,40.0792,-98.8164
USA,Master's degree,Woman,White,154000,11,40.0792,-98.8164
USA,College degree,Woman,White,37960,5,40.0792,-98.8164
USA,College degree,Woman,White,50000,11,40.0792,-98.8164
USA,College degree,Woman,White,80000,5,40.0792,-98.8164
USA,Master's degree,Woman,White,51000,2,40.0792,-98.8164
USA,College degree,Woman,White,68150,2,40.0792,-98.8164
USA,PhD,Woman,White,85000,5,40.0792,-98.8164
USA,College degree,Woman,White,54000,5,40.0792,-98.8164
USA,PhD,Woman,White,82500,5,40.0792,-98.8164
USA,College degree,Woman,Black or African American,300000,21,40.0792,-98.8164
USA,PhD,Woman,White,58000,21,40.0792,-98.8164
USA,College degree,Prefer not to answer,White,118000,8,40.0792,-98.8164
USA,College degree,Woman,White,52000,11,40.0792,-98.8164
USA,College degree,Woman,White,37440,2,40.0792,-98.8164
USA,College degree,Man,White,54000,41,40.0792,-98.8164
USA,Master's degree,Woman,White,172900,21,40.0792,-98.8164
USA,College degree,Woman,White,75000,2,40.0792,-98.8164
USA,Master's degree,Woman,White,93000,5,40.0792,-98.8164
USA,High School,Woman,White,23000,5,40.0792,-98.8164
USA,Master's degree,Woman,White,51007,31,40.0792,-98.8164
USA,College degree,Woman,White,37419,2,40.0792,-98.8164
USA,College degree,Woman,White,100000,11,40.0792,-98.8164
USA,College degree,Woman,Black or African American,62000,8,40.0792,-98.8164
USA,College degree,Woman,White,94000,8,40.0792,-98.8164
USA,College degree,Woman,White,65000,11,40.0792,-98.8164
USA,College degree,Woman,White,115000,11,40.0792,-98.8164
USA,College degree,Prefer not to answer,White,40000,11,40.0792,-98.8164
USA,College Degree,Non-binary,White,46000,5,40.0792,-98.8164
USA,College degree,Woman,White,57500,8,40.0792,-98.8164
USA,Master's degree,Woman,White,66913,2,40.0792,-98.8164
USA,College degree,Woman,White,78280,11,40.0792,-98.8164
USA,College degree,Man,White,86000,5,40.0792,-98.8164
USA,Master's degree,Prefer not to answer,White,65000,8,40.0792,-98.8164
USA,College degree,Woman,White,86000,11,40.0792,-98.8164
USA,Master's degree,Non-binary,White,58500,8,40.0792,-98.8164
USA,Master's degree,Woman,White,241000,21,40.0792,-98.8164
USA,Master's degree,Man,White,75000,21,40.0792,-98.8164
USA,College Degree,Woman,White,53040,21,40.0792,-98.8164
USA,College degree,Woman,White,66818,5,40.0792,-98.8164
